Title,Skills
Accountants and Auditors,"['Microsoft Office software', 'SAP software', 'operations research', 'Microsoft Excel', 'Intuit QuickBooks', 'Microsoft PowerPoint', 'Microsoft Outlook', 'accounting']"
Actuaries,"['R', 'Microsoft Visual Basic for Applications VBA', 'Microsoft Power BI', 'Tableau', 'Microsoft Excel', 'Structured query language SQL', 'Microsoft PowerPoint', 'Python', 'SAS', 'Microsoft Office software']"
Administrative Services Managers,"['Microsoft Excel', 'information management', 'Microsoft Word', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'operations research']"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","['Microsoft Excel', 'Microsoft Office software', 'operations research']"
Advertising Sales Agents,"['Salesforce software', 'Adobe Illustrator', 'Canva', 'Adobe Creative Cloud software', 'Adobe Photoshop', 'Google Analytics', 'advertising', 'operations research', 'Adobe InDesign', 'Microsoft Excel', 'Microsoft Word', 'Microsoft PowerPoint', 'Microsoft Outlook', 'Microsoft Office software']"
Advertising and Promotions Managers,"['Microsoft Excel', 'operations research', 'Microsoft PowerPoint', 'Microsoft Office software', 'advertising']"
Aerospace Engineers,"['C', 'design', 'Microsoft Office software', 'engineering', 'Microsoft Excel', 'testing', 'The MathWorks MATLAB', 'Microsoft PowerPoint', 'Python', 'C++']"
"Agents and Business Managers of Artists, Performers, and Athletes","['Microsoft Excel', 'Microsoft Office software', 'business', 'operations research']"
Agricultural Inspectors,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft Office software']"
Agricultural Technicians,"['Microsoft Excel', 'Microsoft Office software', 'operations research']"
Air Traffic Controllers,"['Microsoft Excel', 'Microsoft Office software', 'operations research']"
Aircraft Mechanics and Service Technicians,"['Microsoft Office software', 'operations research']"
Airfield Operations Specialists,"['Microsoft Excel', 'monitoring', 'Microsoft Office software']"
Anesthesiologists,"['Epic Systems', 'operations research']"
Animal Control Workers,"['Microsoft Office software', 'operations research']"
Anthropologists and Archeologists,"['Microsoft Excel', 'Microsoft Word', 'Microsoft Office software', 'ESRI ArcGIS software', 'operations research']"
Appraisers and Assessors of Real Estate,"['Microsoft Excel', 'Microsoft Word', 'Microsoft PowerPoint', 'Microsoft Outlook', 'Microsoft Office software']"
"Arbitrators, Mediators, and Conciliators","['Microsoft Excel', 'Microsoft Word', 'Microsoft PowerPoint', 'Microsoft Outlook', 'Microsoft Office software']"
"Architects, Except Landscape and Naval","['Adobe Illustrator', 'design', 'Adobe Creative Cloud software', 'Adobe Photoshop', 'Autodesk AutoCAD', 'Adobe InDesign', 'Autodesk Revit', 'Microsoft Excel', 'Trimble SketchUp Pro', 'Microsoft Office software']"
Architectural and Civil Drafters,"['Bentley MicroStation', 'engineering', 'Adobe Photoshop', 'operations research', 'civil engineering', 'Autodesk AutoCAD', 'Microsoft Excel', 'Autodesk Revit', 'Trimble SketchUp Pro', 'Autodesk AutoCAD Civil 3D', 'Microsoft Outlook', 'Microsoft Office software']"
Architectural and Engineering Managers,"['Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Office software', 'engineering', 'Autodesk AutoCAD', 'operations research']"
"Architecture Teachers, Postsecondary","['Autodesk Revit', 'design', 'Autodesk AutoCAD']"
Archivists,"['Microsoft Excel', 'Adobe Photoshop', 'Microsoft Office software']"
Art Directors,"['Adobe Illustrator', 'design', 'Adobe Creative Cloud software', 'Figma', 'Adobe Photoshop', 'operations research', 'Adobe InDesign', 'Microsoft Excel', 'Adobe After Effects', 'Microsoft PowerPoint', 'broadcasting', 'Microsoft Office software']"
Art Therapists,"['Zoom', 'operations research']"
"Art, Drama, and Music Teachers, Postsecondary","['design', 'Adobe Photoshop', 'operations research']"
Astronomers,"['Python', 'operations research']"
Athletes and Sports Competitors,['Microsoft Office software']
Atmospheric and Space Scientists,"['Python', 'Microsoft Office software']"
Audio and Video Technicians,"['Microsoft Excel', 'Microsoft Teams', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'Zoom', 'operations research']"
Audiologists,"['Microsoft Excel', 'training model', 'Microsoft Office software']"
Automotive Engineers,"['design', 'Microsoft Office software', 'operations research', 'Autodesk AutoCAD', 'Microsoft Excel', 'testing', 'The MathWorks MATLAB', 'Microsoft PowerPoint', 'Python', 'component', 'Dassault Systemes SolidWorks', 'Perl', 'C++']"
Aviation Inspectors,"['Microsoft Excel', 'communications', 'Microsoft Word']"
Avionics Technicians,"['Microsoft Excel', 'Microsoft Office software', 'operations research']"
Bill and Account Collectors,"['Microsoft Excel', 'Microsoft Word', 'Microsoft Office software', 'Microsoft Outlook', 'operations research']"
Billing and Posting Clerks,"['Microsoft Excel', 'Microsoft Word', 'accounting', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'operations research']"
Biochemists and Biophysicists,"['Microsoft Excel', 'Microsoft Office software', 'operations research']"
Bioengineers and Biomedical Engineers,"['Microsoft Excel', 'R', 'design', 'computer science', 'Python', 'engineering', 'Microsoft Office software']"
Bioinformatics Scientists,"['R', 'design', 'Amazon Web Services AWS software', 'Bash', 'database', 'Linux', 'Microsoft Office software', 'C', 'C++', 'GitHub', 'algorithm', 'UNIX', 'Oracle Java', 'operations research', 'Microsoft Excel', 'Shell script', 'Structured query language SQL', 'Microsoft PowerPoint', 'Python', 'Perl']"
Biological Technicians,"['Microsoft Excel', 'Microsoft Office software']"
Biologists,"['Microsoft Excel', 'R', 'Microsoft Office software', 'Microsoft PowerPoint', 'Python', 'operations research']"
Biostatisticians,"['R', 'IBM SPSS Statistics', 'SAP software', 'Microsoft Excel', 'Structured query language SQL', 'Microsoft PowerPoint', 'Python', 'SAS', 'Microsoft Office software']"
Blockchain Engineers,"['design', 'TypeScript', 'deployment', 'MySQL', 'Amazon Web Services AWS software', 'testing', 'Go', 'security', 'React', 'Docker', 'Oracle Java', 'operations research', 'cryptocurrency', 'Kubernetes', 'blockchain', 'Microsoft Azure software', 'Structured query language SQL', 'Python', 'Git', 'JavaScript', 'Node.js']"
"Bookkeeping, Accounting, and Auditing Clerks","['Microsoft Excel', 'Intuit QuickBooks', 'Microsoft Word', 'business', 'Microsoft Office software', 'Microsoft Outlook', 'accounting']"
Broadcast Announcers and Radio Disc Jockeys,"['communications', 'play', 'queues', 'Microsoft Office software', 'operations research']"
Broadcast Technicians,"['Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'operations research']"
Brokerage Clerks,"['Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'operations research']"
Brownfield Redevelopment Specialists and Site Managers,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft Office software']"
Budget Analysts,"['Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'accounting']"
Business Continuity Planners,"['business', 'Microsoft Visio', 'Microsoft SharePoint', 'operations research', 'Microsoft Excel', 'Microsoft PowerPoint', 'documentation', 'Microsoft Office software']"
Business Intelligence Analysts,"['devise', 'R', 'SAP software', 'Microsoft Power BI', 'Amazon Web Services AWS software', 'Microsoft Azure software', 'Microsoft Excel', 'Structured query language SQL', 'SAS', 'Microsoft PowerPoint', 'Python', 'Tableau', 'Microsoft Office software']"
"Buyers and Purchasing Agents, Farm Products","['Microsoft Excel', 'Microsoft Word', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'tree structure', 'operations research']"
Calibration Technologists and Technicians,"['engineering', 'operations research', 'Microsoft Excel', 'Microsoft Word', 'The MathWorks MATLAB', 'Microsoft PowerPoint', 'Microsoft Outlook', 'Microsoft Office software']"
"Camera Operators, Television, Video, and Film","['Adobe Illustrator', 'Adobe Creative Cloud software', 'Adobe After Effects', 'Adobe Photoshop', 'operations research']"
"Captains, Mates, and Pilots of Water Vessels","['Microsoft Excel', 'Microsoft Outlook', 'Microsoft Office software', 'operations research']"
Cardiologists,"['Epic Systems', 'operations research']"
"Career/Technical Education Teachers, Postsecondary","['Microsoft Excel', 'training model', 'business', 'Microsoft PowerPoint', 'Microsoft Office software', 'operations research']"
Cargo and Freight Agents,"['Microsoft Excel', 'training model', 'Microsoft Word', 'Microsoft PowerPoint', 'Microsoft Outlook', 'Microsoft Office software']"
Cartographers and Photogrammetrists,"['design', 'data structure', 'Python', 'ESRI ArcGIS software', 'algorithm', 'operations research']"
Chefs and Head Cooks,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft Word', 'operations research']"
Chemical Engineers,"['devise', 'Microsoft Excel', 'design', 'Microsoft PowerPoint', 'engineering', 'Autodesk AutoCAD', 'Microsoft Office software']"
Chemical Equipment Operators and Tenders,"['Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'SAP software', 'operations research']"
Chemical Plant and System Operators,"['Microsoft Excel', 'Microsoft Office software', 'operations research']"
Chemical Technicians,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft Office software', 'operations research']"
"Chemistry Teachers, Postsecondary",['Microsoft Office software']
Chemists,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'operations research']"
Chief Executives,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'operations research']"
Chief Sustainability Officers,"['Microsoft Office software', 'operations research']"
"Child, Family, and School Social Workers","['Microsoft Excel', 'Microsoft Outlook', 'Microsoft Office software', 'operations research']"
Civil Engineering Technologists and Technicians,"['Bentley MicroStation', 'engineering', 'operations research', 'civil engineering', 'Autodesk AutoCAD', 'Microsoft Excel', 'Autodesk AutoCAD Civil 3D', 'Microsoft Office software']"
Civil Engineers,"['Bentley MicroStation', 'engineering', 'Autodesk AutoCAD', 'Microsoft Excel', 'Autodesk Revit', 'Autodesk AutoCAD Civil 3D', 'Microsoft PowerPoint', 'Microsoft Outlook', 'Microsoft Office software']"
"Claims Adjusters, Examiners, and Investigators","['Microsoft Excel', 'payment services', 'Microsoft Outlook', 'Microsoft Office software']"
Climate Change Policy Analysts,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'operations research']"
Clinical Data Managers,"['Microsoft Visio', 'Microsoft SharePoint', 'Microsoft Excel', 'Structured query language SQL', 'Microsoft PowerPoint', 'database', 'Epic Systems', 'Microsoft Office software']"
Clinical Nurse Specialists,"['Microsoft Excel', 'operations research']"
Clinical Research Coordinators,"['Microsoft Excel', 'Microsoft Word', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'operations research']"
Clinical and Counseling Psychologists,"['Zoom', 'design', 'Microsoft Teams', 'operations research']"
Commercial and Industrial Designers,"['Adobe Illustrator', 'design', 'Adobe Creative Cloud software', 'Figma', 'Adobe Photoshop', 'Autodesk AutoCAD', 'Microsoft Excel', 'marketing', 'Microsoft PowerPoint', 'Dassault Systemes SolidWorks', 'Microsoft Office software']"
Community Health Workers,"['Microsoft Excel', 'Microsoft Word', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'operations research']"
Compensation and Benefits Managers,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'operations research']"
"Compensation, Benefits, and Job Analysis Specialists","['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Office software']"
Compliance Managers,"['Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'operations research']"
Compliance Officers,"['Microsoft Excel', 'Microsoft Word', 'Microsoft PowerPoint', 'Microsoft Office software', 'Microsoft Outlook', 'operations research']"
Computer Hardware Engineers,"['C', 'design', 'operations research', 'The MathWorks MATLAB', 'Python', 'component', 'Perl', 'Linux', 'C++']"
Computer Network Architects,"['communications', 'design', 'Microsoft Visio', 'local area network', 'Ansible software', 'Microsoft Active Directory', 'software', 'Amazon Web Services AWS software', 'computer security', 'Linux', 'Microsoft Office software', 'wide area network', 'Border Gateway Protocol BGP', 'Microsoft Excel', 'Microsoft Azure software', 'Structured query language SQL', 'Python']"
Computer Network Support Specialists,"['communications', 'wide area network', 'Microsoft Windows Server', 'local area network', 'Microsoft Active Directory', 'Border Gateway Protocol BGP', 'Microsoft Excel', 'ServiceNow', 'Microsoft Office software']"
