Title,Skills
Accountants and Auditors,"['Microsoft Excel', 'SAP software', 'Microsoft Office software', 'Microsoft PowerPoint', 'Microsoft Outlook', 'Intuit QuickBooks', 'accounting', 'operations research']"
Actuaries,"['Microsoft Power BI', 'Microsoft Excel', 'Microsoft Office software', 'SAS', 'R', 'Microsoft Visual Basic for Applications VBA', 'Microsoft PowerPoint', 'Python', 'Structured query language SQL', 'Tableau']"
Administrative Services Managers,"['Microsoft Word', 'Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'Microsoft Outlook', 'information management', 'operations research']"
Advertising Sales Agents,"['Microsoft Excel', 'Salesforce software', 'Microsoft Office software', 'advertising', 'Adobe InDesign', 'Microsoft Word', 'Google Analytics', 'Microsoft PowerPoint', 'Adobe Illustrator', 'Microsoft Outlook', 'Adobe Photoshop', 'Adobe Creative Cloud software', 'Canva', 'operations research']"
Advertising and Promotions Managers,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'advertising', 'operations research']"
"Agents and Business Managers of Artists, Performers, and Athletes","['Microsoft Excel', 'business', 'Microsoft Office software', 'operations research']"
Bill and Account Collectors,"['Microsoft Word', 'Microsoft Excel', 'Microsoft Office software', 'Microsoft Outlook', 'operations research']"
Billing and Posting Clerks,"['Microsoft Word', 'Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'Microsoft Outlook', 'accounting', 'operations research']"
Blockchain Engineers,"['testing', 'cryptocurrency', 'Go', 'Docker', 'JavaScript', 'Amazon Web Services AWS software', 'Structured query language SQL', 'design', 'security', 'MySQL', 'Kubernetes', 'TypeScript', 'Microsoft Azure software', 'Node.js', 'Oracle Java', 'Git', 'Python', 'blockchain', 'deployment', 'React', 'operations research']"
"Bookkeeping, Accounting, and Auditing Clerks","['Microsoft Word', 'Microsoft Excel', 'business', 'Microsoft Office software', 'Microsoft Outlook', 'Intuit QuickBooks', 'accounting']"
Brokerage Clerks,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'Microsoft Outlook', 'operations research']"
Budget Analysts,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'Microsoft Outlook', 'accounting']"
Business Continuity Planners,"['Microsoft Excel', 'Microsoft Office software', 'business', 'documentation', 'Microsoft PowerPoint', 'Microsoft SharePoint', 'Microsoft Visio', 'operations research']"
Business Intelligence Analysts,"['Microsoft Power BI', 'devise', 'Microsoft Excel', 'SAP software', 'Microsoft Office software', 'Microsoft Azure software', 'SAS', 'Amazon Web Services AWS software', 'R', 'Structured query language SQL', 'Microsoft PowerPoint', 'Python', 'Tableau']"
Chief Executives,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'operations research']"
Chief Sustainability Officers,"['Microsoft Office software', 'operations research']"
Climate Change Policy Analysts,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'operations research']"
Clinical Data Managers,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft Visio', 'Epic Systems', 'Structured query language SQL', 'Microsoft PowerPoint', 'Microsoft SharePoint', 'database']"
Commercial and Industrial Designers,"['Microsoft Excel', 'Autodesk AutoCAD', 'Dassault Systemes SolidWorks', 'Microsoft Office software', 'Figma', 'Microsoft PowerPoint', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Creative Cloud software', 'marketing', 'design']"
Compensation and Benefits Managers,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'operations research']"
"Compensation, Benefits, and Job Analysis Specialists","['Microsoft Outlook', 'Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint']"
Compliance Managers,"['Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'Microsoft Outlook', 'operations research']"
Compliance Officers,"['Microsoft Word', 'Microsoft Excel', 'Microsoft Office software', 'Microsoft PowerPoint', 'Microsoft Outlook', 'operations research']"
Computer Hardware Engineers,"['C', 'Linux', 'C++', 'design', 'Python', 'Perl', 'component', 'The MathWorks MATLAB', 'operations research']"
Computer Network Architects,"['wide area network', 'Border Gateway Protocol BGP', 'software', 'Linux', 'Amazon Web Services AWS software', 'Microsoft Active Directory', 'Structured query language SQL', 'design', 'Ansible software', 'Microsoft Visio', 'Microsoft Excel', 'Microsoft Office software', 'communications', 'local area network', 'Microsoft Azure software', 'Python', 'computer security']"
Computer Network Support Specialists,"['wide area network', 'Border Gateway Protocol BGP', 'Microsoft Excel', 'Microsoft Office software', 'communications', 'Microsoft Windows Server', 'local area network', 'ServiceNow', 'Microsoft Active Directory']"
Computer Numerically Controlled Tool Programmers,"['Microsoft Excel', 'Autodesk AutoCAD', 'Dassault Systemes SolidWorks', 'Microsoft Office software', 'operations research']"
Computer Programmers,"['software', 'Linux', 'Cascading style sheets CSS', 'JavaScript', 'Structured query language SQL', 'Hypertext markup language HTML', 'Microsoft PowerPoint', 'C#', 'Extensible markup language XML', 'Microsoft SQL Server', 'code', 'Microsoft Excel', 'Microsoft Office software', 'C++', 'Oracle Java', 'SAS', 'Git', 'R', 'Python', 'operations research']"
"Computer Science Teachers, Postsecondary","['computer science', 'Microsoft Office software', 'Linux', 'C++', 'Oracle Java', 'design', 'Python', 'operations research']"
Computer Systems Analysts,"['SAP software', 'engineering', 'software', 'ServiceNow', 'business', 'Structured query language SQL', 'schedule', 'systems management', 'Microsoft PowerPoint', 'Microsoft Visio', 'Microsoft Excel', 'Microsoft Office software', 'data processing', 'Atlassian JIRA', 'Python', 'Microsoft SharePoint', 'operations research']"
Computer Systems Engineers/Architects,"['C', 'Go', 'Linux', 'Docker', 'JavaScript', 'Jenkins CI', 'Amazon Web Services AWS software', 'Microsoft Active Directory', 'Structured query language SQL', 'design', 'systems management', 'Ansible software', 'Bash', 'Microsoft Office software', 'Kubernetes', 'Microsoft PowerShell', 'IBM Terraform', 'Microsoft Azure software', 'C++', 'Oracle Java', 'Git', 'Python', 'Atlassian JIRA', 'operations research']"
Computer User Support Specialists,"['Microsoft Excel', 'Microsoft Office software', 'software', 'Apple iOS', 'Microsoft Windows', 'ServiceNow', 'Linux', 'Apple macOS', 'operating system', 'Microsoft Active Directory', 'computer hardware', 'Structured query language SQL', 'Microsoft Outlook', 'operations research']"
Computer and Information Research Scientists,"['C', 'software', 'Docker', 'Linux', 'Amazon Web Services AWS software', 'computer hardware', 'Structured query language SQL', 'TensorFlow', 'Microsoft Azure software', 'C++', 'Oracle Java', 'Git', 'R', 'Python', 'The MathWorks MATLAB', 'operations research']"
Computer and Information Systems Managers,"['Microsoft Excel', 'SAP software', 'Microsoft Office software', 'Microsoft Azure software', 'data processing', 'Amazon Web Services AWS software', 'computer programming', 'Structured query language SQL', 'operations research']"
"Computer, Automated Teller, and Office Machine Repairers","['Microsoft Office software', 'operations research']"
