Code,Occupation,Categories
13-2011.00,Accountants and Auditors,Rapid Growth; Numerous Job Openings
15-2011.00,Actuaries,Rapid Growth
11-3012.00,Administrative Services Managers,Rapid Growth
17-2011.00,Aerospace Engineers,Rapid Growth
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Rapid Growth
19-4012.00,Agricultural Technicians,Rapid Growth
19-3091.00,Anthropologists and Archeologists,Rapid Growth
23-1022.00,"Arbitrators, Mediators, and Conciliators",Rapid Growth
17-1011.00,"Architects, Except Landscape and Naval",Rapid Growth
11-9041.00,Architectural and Engineering Managers,Rapid Growth
25-4011.00,Archivists,Rapid Growth
29-1129.01,Art Therapists,Rapid Growth
19-2011.00,Astronomers,Rapid Growth
19-2021.00,Atmospheric and Space Scientists,Rapid Growth
29-1181.00,Audiologists,Rapid Growth
17-2141.02,Automotive Engineers,Rapid Growth
49-2091.00,Avionics Technicians,Rapid Growth
19-1021.00,Biochemists and Biophysicists,Rapid Growth
17-2031.00,Bioengineers and Biomedical Engineers,Rapid Growth
19-1029.01,Bioinformatics Scientists,Rapid Growth
19-4021.00,Biological Technicians,Rapid Growth
19-1029.04,Biologists,Rapid Growth
15-2041.01,Biostatisticians,Rapid Growth
15-1299.07,Blockchain Engineers,Rapid Growth; New and Emerging
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Numerous Job Openings
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Rapid Growth; Numerous Job Openings
13-1199.04,Business Continuity Planners,Numerous Job Openings
15-2051.01,Business Intelligence Analysts,Rapid Growth
13-1021.00,"Buyers and Purchasing Agents, Farm Products",Rapid Growth
17-3028.00,Calibration Technologists and Technicians,Rapid Growth
43-5011.00,Cargo and Freight Agents,Rapid Growth
17-1021.00,Cartographers and Photogrammetrists,Rapid Growth
35-1011.00,Chefs and Head Cooks,Rapid Growth
17-2041.00,Chemical Engineers,Rapid Growth
19-4031.00,Chemical Technicians,Rapid Growth
19-2031.00,Chemists,Rapid Growth
11-1011.00,Chief Executives,Rapid Growth
17-2051.00,Civil Engineers,Rapid Growth
19-2041.01,Climate Change Policy Analysts,Rapid Growth
19-3033.00,Clinical and Counseling Psychologists,Rapid Growth
15-2051.02,Clinical Data Managers,Rapid Growth
29-1141.04,Clinical Nurse Specialists,Rapid Growth; Numerous Job Openings
11-9121.01,Clinical Research Coordinators,Rapid Growth
21-1094.00,Community Health Workers,Rapid Growth
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Rapid Growth
11-9199.02,Compliance Managers,Rapid Growth; Numerous Job Openings
15-1221.00,Computer and Information Research Scientists,Rapid Growth
11-3021.00,Computer and Information Systems Managers,Rapid Growth
17-2061.00,Computer Hardware Engineers,Rapid Growth
15-1241.00,Computer Network Architects,Rapid Growth
15-1231.00,Computer Network Support Specialists,Rapid Growth
51-9162.00,Computer Numerically Controlled Tool Programmers,Rapid Growth
25-1021.00,"Computer Science Teachers, Postsecondary",Rapid Growth
15-1211.00,Computer Systems Analysts,Rapid Growth
15-1299.08,Computer Systems Engineers/Architects,Rapid Growth
19-1031.00,Conservation Scientists,Rapid Growth
11-9021.00,Construction Managers,Rapid Growth
25-4012.00,Curators,Rapid Growth
43-4051.00,Customer Service Representatives,Numerous Job Openings
15-2051.00,Data Scientists,Rapid Growth
15-1243.01,Data Warehousing Specialists,Rapid Growth
15-1242.00,Database Administrators,Rapid Growth
