Title,O*NET-SOC Code,Skills,num_skills
Accountants and Auditors,13-2011,"['Intuit QuickBooks', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'SAP software']",5
Actuaries,15-2011,"['Microsoft Excel', 'Microsoft Power BI', 'Microsoft PowerPoint', 'Microsoft Visual Basic for Applications VBA', 'Python', 'R', 'SAS', 'SQL', 'Tableau']",9
Administrative Services Managers,11-3012,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3011,['Microsoft Excel'],1
Advertising Sales Agents,41-3011,"['Adobe Creative Cloud software', 'Adobe Illustrator', 'Adobe InDesign', 'Adobe Photoshop', 'Canva', 'Google Analytics', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word', 'Salesforce software']",11
Advertising and Promotions Managers,11-2011,"['Microsoft Excel', 'Microsoft PowerPoint']",2
Aerospace Engineers,17-2011,"['C', 'C++', 'Microsoft Excel', 'Microsoft PowerPoint', 'Python', 'The MathWorks MATLAB']",6
"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,['Microsoft Excel'],1
Agricultural Inspectors,45-2011,"['Microsoft Excel', 'Microsoft Outlook']",2
Agricultural Technicians,19-4012,['Microsoft Excel'],1
Air Traffic Controllers,53-2021,['Microsoft Excel'],1
Airfield Operations Specialists,53-2022,['Microsoft Excel'],1
Anesthesiologists,29-1211,['Epic Systems'],1
Anthropologists and Archeologists,19-3091,"['ESRI ArcGIS software', 'Microsoft Excel', 'Microsoft Word']",3
Appraisers and Assessors of Real Estate,13-2023,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
"Arbitrators, Mediators, and Conciliators",23-1022,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
"Architects, Except Landscape and Naval",17-1011,"['Adobe Creative Cloud software', 'Adobe Illustrator', 'Adobe InDesign', 'Adobe Photoshop', 'Autodesk AutoCAD', 'Autodesk Revit', 'Microsoft Excel', 'Trimble SketchUp Pro']",8
Architectural and Civil Drafters,17-3011,"['Adobe Photoshop', 'Autodesk AutoCAD', 'Autodesk AutoCAD Civil 3D', 'Autodesk Revit', 'Bentley MicroStation', 'Microsoft Excel', 'Microsoft Outlook', 'Trimble SketchUp Pro']",8
Architectural and Engineering Managers,11-9041,"['Autodesk AutoCAD', 'Microsoft Excel', 'Microsoft PowerPoint']",3
"Architecture Teachers, Postsecondary",25-1031,"['Autodesk AutoCAD', 'Autodesk Revit']",2
Archivists,25-4011,"['Adobe Photoshop', 'Microsoft Excel']",2
Art Directors,27-1011,"['Adobe After Effects', 'Adobe Creative Cloud software', 'Adobe Illustrator', 'Adobe InDesign', 'Adobe Photoshop', 'Figma', 'Microsoft Excel', 'Microsoft PowerPoint']",8
Art Therapists,29-1129,['Zoom'],1
"Art, Drama, and Music Teachers, Postsecondary",25-1121,['Adobe Photoshop'],1
Astronomers,19-2011,['Python'],1
Atmospheric and Space Scientists,19-2021,['Python'],1
Audio and Video Technicians,27-4011,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Teams', 'Zoom']",5
Audiologists,29-1181,['Microsoft Excel'],1
Automotive Engineers,17-2141,"['Autodesk AutoCAD', 'C++', 'Dassault Systemes SolidWorks', 'Microsoft Excel', 'Microsoft PowerPoint', 'Perl', 'Python', 'The MathWorks MATLAB']",8
Aviation Inspectors,53-6051,"['Microsoft Excel', 'Microsoft Word']",2
Avionics Technicians,49-2091,['Microsoft Excel'],1
Bill and Account Collectors,43-3011,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft Word']",3
Billing and Posting Clerks,43-3021,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
Biochemists and Biophysicists,19-1021,['Microsoft Excel'],1
Bioengineers and Biomedical Engineers,17-2031,"['Microsoft Excel', 'Python', 'R']",3
Bioinformatics Scientists,19-1029,"['Amazon Web Services AWS software', 'Bash', 'C', 'C++', 'GitHub', 'Linux', 'Microsoft Excel', 'Microsoft PowerPoint', 'Oracle Java', 'Perl', 'Python', 'R', 'Shell script', 'SQL', 'UNIX']",15
Biological Technicians,19-4021,['Microsoft Excel'],1
Biologists,19-1029,"['Microsoft Excel', 'Microsoft PowerPoint', 'Python', 'R']",4
Biostatisticians,15-2041,"['IBM SPSS Statistics', 'Microsoft Excel', 'Microsoft PowerPoint', 'Python', 'R', 'SAP software', 'SAS', 'SQL']",8
Blockchain Engineers,15-1299,"['Amazon Web Services AWS software', 'Docker', 'Git', 'Go', 'JavaScript', 'Kubernetes', 'Microsoft Azure software', 'MySQL', 'Node.js', 'Oracle Java', 'Python', 'React', 'SQL', 'TypeScript']",14
"Bookkeeping, Accounting, and Auditing Clerks",43-3031,"['Intuit QuickBooks', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft Word']",4
Broadcast Technicians,27-4012,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']",3
Brokerage Clerks,43-4011,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']",3
Brownfield Redevelopment Specialists and Site Managers,11-9199,"['Microsoft Excel', 'Microsoft Outlook']",2
Budget Analysts,13-2031,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']",3
Business Continuity Planners,13-1199,"['Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft SharePoint', 'Microsoft Visio']",4
Business Intelligence Analysts,15-2051,"['Amazon Web Services AWS software', 'Microsoft Azure software', 'Microsoft Excel', 'Microsoft Power BI', 'Microsoft PowerPoint', 'Python', 'R', 'SAP software', 'SAS', 'SQL', 'Tableau']",11
"Buyers and Purchasing Agents, Farm Products",13-1021,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
Calibration Technologists and Technicians,17-3028,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word', 'The MathWorks MATLAB']",5
"Camera Operators, Television, Video, and Film",27-4031,"['Adobe After Effects', 'Adobe Creative Cloud software', 'Adobe Illustrator', 'Adobe Photoshop']",4
"Captains, Mates, and Pilots of Water Vessels",53-5021,"['Microsoft Excel', 'Microsoft Outlook']",2
Cardiologists,29-1212,['Epic Systems'],1
"Career/Technical Education Teachers, Postsecondary",25-1194,"['Microsoft Excel', 'Microsoft PowerPoint']",2
Cargo and Freight Agents,43-5011,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
Cartographers and Photogrammetrists,17-1021,"['ESRI ArcGIS software', 'Python']",2
Chefs and Head Cooks,35-1011,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft Word']",3
Chemical Engineers,17-2041,"['Autodesk AutoCAD', 'Microsoft Excel', 'Microsoft PowerPoint']",3
Chemical Equipment Operators and Tenders,51-9011,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'SAP software']",4
Chemical Plant and System Operators,51-8091,['Microsoft Excel'],1
Chemical Technicians,19-4031,"['Microsoft Excel', 'Microsoft Outlook']",2
Chemists,19-2031,"['Microsoft Excel', 'Microsoft PowerPoint']",2
Chief Executives,11-1011,"['Microsoft Excel', 'Microsoft PowerPoint']",2
"Child, Family, and School Social Workers",21-1021,"['Microsoft Excel', 'Microsoft Outlook']",2
Civil Engineering Technologists and Technicians,17-3022,"['Autodesk AutoCAD', 'Autodesk AutoCAD Civil 3D', 'Bentley MicroStation', 'Microsoft Excel']",4
Civil Engineers,17-2051,"['Autodesk AutoCAD', 'Autodesk AutoCAD Civil 3D', 'Autodesk Revit', 'Bentley MicroStation', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']",7
"Claims Adjusters, Examiners, and Investigators",13-1031,"['Microsoft Excel', 'Microsoft Outlook']",2
Climate Change Policy Analysts,19-2041,"['Microsoft Excel', 'Microsoft PowerPoint']",2
Clinical Data Managers,15-2051,"['Epic Systems', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft SharePoint', 'Microsoft Visio', 'SQL']",6
Clinical Nurse Specialists,29-1141,['Microsoft Excel'],1
Clinical Research Coordinators,11-9121,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
Clinical and Counseling Psychologists,19-3033,"['Microsoft Teams', 'Zoom']",2
Commercial and Industrial Designers,27-1021,"['Adobe Creative Cloud software', 'Adobe Illustrator', 'Adobe Photoshop', 'Autodesk AutoCAD', 'Dassault Systemes SolidWorks', 'Figma', 'Microsoft Excel', 'Microsoft PowerPoint']",8
Community Health Workers,21-1094,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
Compensation and Benefits Managers,11-3111,"['Microsoft Excel', 'Microsoft PowerPoint']",2
"Compensation, Benefits, and Job Analysis Specialists",13-1141,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']",3
Compliance Managers,11-9199,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint']",3
Compliance Officers,13-1041,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
Computer Hardware Engineers,17-2061,"['C', 'C++', 'Linux', 'Perl', 'Python', 'The MathWorks MATLAB']",6
Computer Network Architects,15-1241,"['Amazon Web Services AWS software', 'Ansible software', 'Border Gateway Protocol BGP', 'Linux', 'Microsoft Active Directory', 'Microsoft Azure software', 'Microsoft Excel', 'Microsoft Visio', 'Python', 'SQL']",10
Computer Network Support Specialists,15-1231,"['Border Gateway Protocol BGP', 'Microsoft Active Directory', 'Microsoft Excel', 'Microsoft Windows Server', 'ServiceNow']",5
Computer Numerically Controlled Tool Programmers,51-9162,"['Autodesk AutoCAD', 'Dassault Systemes SolidWorks', 'Microsoft Excel']",3
Computer Programmers,15-1251,"['C#', 'C++', 'Cascading style sheets CSS', 'Extensible markup language XML', 'Git', 'Hypertext markup language HTML', 'JavaScript', 'Linux', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft SQL Server', 'Oracle Java', 'Python', 'R', 'SAS', 'SQL']",16
"Computer Science Teachers, Postsecondary",25-1021,"['C++', 'Linux', 'Oracle Java', 'Python']",4
Computer Systems Analysts,15-1211,"['Atlassian JIRA', 'Microsoft Excel', 'Microsoft PowerPoint', 'Microsoft SharePoint', 'Microsoft Visio', 'Python', 'SAP software', 'ServiceNow', 'SQL']",9
Computer Systems Engineers/Architects,15-1299,"['Amazon Web Services AWS software', 'Ansible software', 'Atlassian JIRA', 'Bash', 'C', 'C++', 'Docker', 'Git', 'Go', 'IBM Terraform', 'JavaScript', 'Jenkins CI', 'Kubernetes', 'Linux', 'Microsoft Active Directory', 'Microsoft Azure software', 'Microsoft PowerShell', 'Oracle Java', 'Python', 'SQL']",20
Computer User Support Specialists,15-1232,"['Apple iOS', 'Apple macOS', 'Linux', 'Microsoft Active Directory', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft Windows', 'ServiceNow', 'SQL']",9
Computer and Information Research Scientists,15-1221,"['Amazon Web Services AWS software', 'C', 'C++', 'Docker', 'Git', 'Linux', 'Microsoft Azure software', 'Oracle Java', 'Python', 'R', 'SQL', 'TensorFlow', 'The MathWorks MATLAB']",13
Computer and Information Systems Managers,11-3021,"['Amazon Web Services AWS software', 'Microsoft Azure software', 'Microsoft Excel', 'SAP software', 'SQL']",5
Concierges,39-6012,"['Microsoft Excel', 'Microsoft Outlook']",2
Conservation Scientists,19-1031,"['ESRI ArcGIS software', 'Microsoft Excel', 'Microsoft Word']",3
Construction Managers,11-9021,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft Project', 'Procore software']",4
Construction and Building Inspectors,47-4011,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft Word']",3
"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012,"['Microsoft Excel', 'Microsoft Outlook']",2
Correspondence Clerks,43-4021,"['Epic Systems', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft Word']",4
Cost Estimators,13-1051,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
"Court, Municipal, and License Clerks",43-4031,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
Credit Analysts,13-2041,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
"Credit Authorizers, Checkers, and Clerks",43-4041,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
Credit Counselors,13-2071,"['Microsoft Excel', 'Microsoft Outlook', 'Microsoft PowerPoint', 'Microsoft Word']",4
Curators,25-4012,['Microsoft Excel'],1
