O*NET-SOC Code,Title,Skills,hourly_wage,annual_wage
13-2011,Accountants and Auditors,"['Microsoft PowerPoint', 'accounting', 'Microsoft Excel', 'operations research', 'SAP software', 'Microsoft Outlook', 'Intuit QuickBooks']",43.65,90780
15-2011,Actuaries,"['SQL', 'Microsoft Visual Basic for Applications VBA', 'R', 'Tableau', 'Microsoft PowerPoint', 'SAS', 'Microsoft Excel', 'Python', 'Microsoft Power BI']",63.7,132500
11-3012,Administrative Services Managers,"['Microsoft PowerPoint', 'Microsoft Excel', 'Microsoft Word', 'information management', 'operations research', 'Microsoft Outlook']",58.27,121200
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","['operations research', 'Microsoft Excel']",31.46,65430
41-3011,Advertising Sales Agents,"['Adobe Creative Cloud software', 'Adobe InDesign', 'Google Analytics', 'Microsoft PowerPoint', 'Adobe Illustrator', 'Adobe Photoshop', 'Microsoft Excel', 'Microsoft Word', 'Canva', 'advertising', 'operations research', 'Microsoft Outlook', 'Salesforce software']",36.45,75820
11-2011,Advertising and Promotions Managers,"['Microsoft PowerPoint', 'advertising', 'operations research', 'Microsoft Excel']",73.38,152620
17-2011,Aerospace Engineers,"['C', 'design', 'Microsoft PowerPoint', 'Microsoft Excel', 'testing', 'The MathWorks MATLAB', 'C++', 'Python', 'engineering']",64.58,134330
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","['business', 'operations research', 'Microsoft Excel']",63.85,132810
45-2011,Agricultural Inspectors,"['Microsoft Excel', 'Microsoft Outlook']",25.08,52170
19-4012,Agricultural Technicians,"['operations research', 'Microsoft Excel']",22.5,46810
53-2021,Air Traffic Controllers,"['operations research', 'Microsoft Excel']",65.77,136790
53-2022,Airfield Operations Specialists,"['monitoring', 'Microsoft Excel']",29.88,62140
29-1211,Anesthesiologists,"['operations research', 'Epic Systems']",163.21,339470
19-3091,Anthropologists and Archeologists,"['Microsoft Word', 'operations research', 'Microsoft Excel', 'ESRI ArcGIS software']",33.55,69780
